Ticker,Date,RS_Rating,Close,Prev20High,RVOL,OBV_Up,MFI,VolSurge,Tight,BaseWeeks,StrictConfirm,HighQuality,R1,R3,R5,R10
UPL.NS,2025-11-17,92.5,773.2000122070312,767.7999877929688,1.46,True,74.99857166616128,True,True,2,True,True,-1.7524557137927999,-2.5478546166598393,-3.9446455662798585,-2.89058927421606
UPL.NS,2025-12-22,92.5,776.5499877929688,769.5499877929688,1.59,True,64.26790399291703,True,True,7,True,True,0.5730490344451056,-0.3219367766787662,1.3907653032953382,2.9296246677767313
UPL.NS,2025-12-23,92.5,781.0,779.0,1.14,True,78.72801411196538,False,True,7,True,True,-1.0627385138244239,-1.286810216769363,1.8117828955265702,2.8105009227952893
UPL.NS,2025-12-31,92.5,795.1500244140625,792.6500244140625,0.85,True,76.2335109160409,False,True,8,True,True,1.28277065442981,1.2513300467049682,0.9809454258290939,-1.8549958557655954
UPL.NS,2026-01-01,92.5,805.3499755859375,801.0,0.74,True,76.65417248340727,False,True,7,True,True,-0.0869126706517509,-0.7512246819858737,-1.347237339647711,-3.0980259425378964
UPL.NS,2026-04-08,92.5,640.25,636.2999877929688,1.41,False,56.89956406612601,False,True,1,False,True,0.2733307301835186,0.5466614603670372,3.0769249835269408,0.2811382730134815
UPL.NS,2026-04-15,92.5,659.7999877929688,653.75,1.1,True,59.03765010875226,False,True,1,False,True,0.022737862509569773,-0.4774118577120401,-0.9017902875285033,-2.3795108362380857
URBANCO.NS,2026-01-05,110.9,138.25999450683594,137.25,1.59,True,62.49687709540697,False,True,2,True,True,-2.9437235839239517,-3.8333487657608023,-2.20597997551486,-6.437143244674681
URBANCO.NS,2026-03-18,110.9,121.16999816894531,120.94999694824219,23.86,True,78.5369938014025,True,True,1,True,True,-5.975074666317093,-9.111167023485844,-5.8512803870849,1.8403923336074879
URBANCO.NS,2026-04-10,110.9,134.52000427246094,131.44000244140625,4.63,True,56.124093900018245,False,False,1,False,False,0.468324118357466,-0.26018888819443475,-0.13381499320035406,7.047275815081
URBANCO.NS,2026-04-22,110.9,148.17999267578125,138.9600067138672,9.67,True,90.34111713751511,True,True,1,True,True,-2.53070602331924,-2.8208887045413022,-0.49264122258144694,-1.4239340368838893
URBANCO.NS,2026-04-30,110.9,151.66000366210938,150.38999938964844,3.53,True,92.07626705420638,False,True,1,True,True,0.0,-3.2770678495933736,-3.32322855282976,-18.40300869587964
USHAMART.NS,2025-08-25,116.2,388.1000061035156,386.5,2.66,True,66.34916614624713,True,False,1,True,True,-0.39938631439584427,-1.7005941766863208,-1.3785122441066555,0.15460090030392504
USHAMART.NS,2025-09-16,116.2,407.1000061035156,398.8999938964844,12.74,True,86.127626896271,True,True,3,True,True,-1.215920445300256,4.777691328382705,8.757060516334025,12.834684160312705
USHAMART.NS,2025-09-18,116.2,415.8500061035156,413.5,2.3,True,94.9540555281185,True,False,3,True,True,2.5730387236761576,6.468677047413163,7.899484338431972,11.1939370229037
USHAMART.NS,2025-09-19,116.2,426.54998779296875,419.3500061035156,1.27,True,95.56201022922914,True,False,2,True,True,1.2425315818129334,4.548124479956273,5.239715565145775,5.6968746936973735
USHAMART.NS,2025-09-22,116.2,431.8500061035156,429.3999938964844,0.77,True,97.50909237545636,True,False,0,True,True,2.524023096545158,3.9018191189921225,10.327661334529402,4.399675751178678
USHAMART.NS,2025-09-23,116.2,442.75,439.70001220703125,0.97,True,99.23487476631438,True,False,0,True,True,0.7227582624576456,1.3890443583250978,3.7492955626235114,0.756636048224868
USHAMART.NS,2025-09-29,116.2,476.45001220703125,454.29998779296875,2.88,True,99.43353404343476,True,False,1,True,True,-3.5890451601216844,-2.948896620962149,-5.373072819314295,0.8290443043869056
USHAMART.NS,2026-04-09,116.2,431.79998779296875,430.3999938964844,1.32,True,56.697345349055894,False,False,1,False,False,2.095882020933737,2.350631009959425,3.937007985315377,2.825385028236882
USHAMART.NS,2026-04-10,116.2,440.8500061035156,436.1499938964844,0.95,True,57.08467268725929,False,False,1,False,False,-1.2816136595805605,1.3156374532536264,0.9980705082379471,4.4232731609447296
USHAMART.NS,2026-04-16,116.2,446.6499938964844,444.6499938964844,0.94,True,64.26272901828861,False,False,1,True,False,0.4813598848906864,-0.6940571243428839,-1.712749132659197,1.153026747309882
USHAMART.NS,2026-05-27,116.2,510.45001220703125,490.0,15.35,True,78.24790826641969,True,True,4,True,True,0.0,-3.8593420973494275,-2.4488196103578885,-5.837989538231303
USHAMART.NS,2026-06-04,116.2,519.7999877929688,518.0,2.93,True,74.38168500902789,True,True,1,True,True,-1.2889596699451666,-4.5690651323099685,-7.637549561710499,-5.5790690036626955
UTIAMC.NS,2025-07-21,90.0,1423.0574951171875,1402.6465587098883,1.99,True,95.69409289215966,False,False,1,True,False,0.2923049829696156,-0.52404906736645,-5.857637111032399,-7.656578873665076
UTIAMC.NS,2025-09-22,90.0,1399.5,1393.9000244140625,4.24,True,76.678893357936,True,True,8,True,True,-0.4930349706368298,-2.5366202215076794,-6.5309056387325874,-5.151838198352088
UTIAMC.NS,2026-04-15,90.0,1009.5999755859375,989.7000122070312,1.74,True,68.07562292914486,True,True,5,True,True,-0.9607717320164855,2.248422522892124,5.398177626576306,-5.457604686842366
UTIAMC.NS,2026-04-17,90.0,1034.800048828125,1025.0,0.94,True,75.0009269299268,True,True,2,True,True,-0.24159256687619202,2.8314578058817874,-10.58659099911975,-8.194824587045401
UTIAMC.NS,2026-04-21,90.0,1065.449951171875,1048.0,0.72,True,79.39381299679317,False,False,1,True,False,-0.1267047395753007,-13.158755229907404,-9.662579744702382,-10.577686079756043
UTLSOLAR.NS,2025-12-31,157.4,222.42999267578125,221.6999969482422,1.46,True,75.31985505318002,False,False,0,True,False,0.4405930039105055,1.1554230134624088,-2.036595301201083,-1.326258618612719
UTLSOLAR.NS,2026-04-06,157.4,217.0800018310547,205.8000030517578,3.03,True,74.68797464656987,True,True,2,True,True,2.7132851206775,1.8011809605347207,4.049195325221033,21.25022537079426
UTLSOLAR.NS,2026-04-07,157.4,222.97000122070312,220.89999389648438,2.07,True,80.98245365911613,True,False,0,True,True,0.017936621928438257,-0.6861904161638455,7.400098627468621,16.50894620669532
UTLSOLAR.NS,2026-04-15,157.4,239.47000122070312,230.14999389648438,4.3,True,88.0623901169273,True,False,1,True,True,6.969558757392846,9.40409608672308,8.481228318813683,25.343467712881672
UTLSOLAR.NS,2026-04-16,157.4,256.1600036621094,243.0,2.69,True,92.69070283328908,True,False,0,True,True,1.0774553896655936,2.752181328927561,11.551372546403304,15.712835503036683
UTLSOLAR.NS,2026-04-23,157.4,285.75,269.989990234375,2.96,True,93.8438545593995,True,False,1,True,True,5.770775235126857,7.065617652285661,3.730534964867682,0.2099758892443182
UTLSOLAR.NS,2026-04-24,157.4,302.239990234375,285.75,5.19,True,96.28621754366935,True,False,0,True,True,0.25477089601970704,-0.6881903915668786,-1.9289262707243737,-9.988751792241358
UTLSOLAR.NS,2026-05-29,157.4,319.95001220703125,312.79998779296875,3.48,True,78.82530389984375,True,True,0,True,True,-4.7976263534514345,4.938267601235458,2.6097750484017634,-3.0629841964830207
UTLSOLAR.NS,2026-06-03,157.4,335.75,335.0,0.22,True,67.85185256753334,False,True,0,True,True,4.988830975428149,-6.835446673724865,-4.571855875954023,-4.8101247644033895
UTLSOLAR.NS,2026-06-04,157.4,352.5,335.75,0.22,True,61.37841321105283,False,True,0,True,True,-6.865251689937946,-10.851063829787233,-13.645391802415785,-10.964537275598406
V2RETAIL.NS,2025-09-18,126.2,185.1699981689453,182.35000610351562,1.86,True,53.19566524723155,True,False,0,True,True,0.34562801532487253,7.33919990942129,4.152941900658247,20.046441369686676
V2RETAIL.NS,2025-09-22,126.2,198.89999389648438,191.8000030517578,2.12,True,68.95747053540511,True,False,0,True,True,-0.07038682450704048,-3.0366985779176403,4.273504404642536,17.023630794063106
V2RETAIL.NS,2025-09-29,126.2,207.39999389648438,201.5,3.3,True,82.88463031163649,True,False,1,True,True,0.3568011161723561,7.179363465690458,12.227580210541866,12.497596041719916
V2RETAIL.NS,2025-09-30,126.2,208.13999938964844,207.44000244140625,3.34,True,90.72092909420215,True,True,1,True,True,4.184686624103251,10.685118457951791,13.54376982995622,15.388680154329748
V2RETAIL.NS,2025-10-09,126.2,244.5500030517578,238.49000549316406,1.07,True,95.89161091839603,True,False,0,True,True,-2.829686396479303,-4.592106149008012,-6.66121788658256,-8.09241803228823
V2RETAIL.NS,2025-11-03,126.2,249.55999755859375,246.5,2.49,True,58.36329981088097,True,True,1,True,True,-1.763100632925474,-10.394295037334999,-8.458887969573404,-6.97627978539378
V2RETAIL.NS,2026-05-07,126.2,215.9199981689453,209.88999938964844,0.97,True,61.778276316274045,False,False,4,True,True,1.7228608985965455,1.9451634790011108,6.516305781556064,7.4101519709540264
V2RETAIL.NS,2026-05-08,126.2,219.63999938964844,218.0,0.78,True,70.30240086426132,False,False,0,True,False,-1.3157891994533655,8.263519371207838,3.9155008775332067,6.232927736044891
V2RETAIL.NS,2026-05-13,126.2,237.7899932861328,223.3800048828125,2.6,True,68.32978111666333,True,False,0,True,True,-3.280200182176307,-8.608430354460928,-4.419864083258229,-0.7317340020617569
V2RETAIL.NS,2026-06-04,126.2,256.3999938964844,247.5,1.73,True,75.37774326953387,True,True,2,True,True,-3.2800267564419894,-6.829171187073113,-16.041337988732064,-10.12480190056435
VAIBHAVGBL.NS,2025-07-18,111.5,241.7167510986328,240.26476489045467,1.65,True,67.41302839395607,False,False,3,True,True,-2.7274915474881256,-2.130849220596309,-5.479337388973493,-8.953649763662973
